Id,Category
1,1
7,1
8,1
9,1
11,1
14,1
15,1
16,1
20,1
23,1
24,1
25,1
26,1
29,1
32,1
35,1
36,2
41,1
47,1
50,1
51,1
54,1
58,1
60,1
61,1
70,1
71,1
76,1
78,1
79,2
83,1
84,2
90,1
97,1
98,1
99,1
101,1
103,1
104,1
107,2
109,1
112,1
117,1
121,1
125,1
141,1
146,1
149,1
153,1
156,1
157,1
160,1
162,1
167,2
175,1
176,2
182,1
183,1
188,1
189,1
191,1
193,1
195,1
197,1
204,1
209,1
219,1
221,1
230,1
236,1
237,1
238,2
246,1
254,2
267,1
272,1
275,1
276,1
280,1
281,2
289,1
293,1
296,1
301,2
303,2
305,1
